Reactants,Products,dE (kcal/mol),K,k2
822 + 278,1508 + 15,-4.5,1989.3281608177167,673594.2447269186
2050,1508 + Et2O ,-2.6,80.52287469679982,16641233.997738224
871 + 102,822 + 825,-3.1,187.2587877980044,7155872.446666988
871 + 0,822 + 15,-7.2,189640.1494217934,7066.014259562735
2260 + 825,871 + 278,-2.5,68.01656318151429,19701083.637877613
2260 + 0,257 + 1211,-8.7,2385058.847413558,561.8310011315416
985 + 347,2260 + Et2O ,-7.8,522104.9526390789,2566.5337844943147
278 + 347,985 + 15,-1.7,17.626982967538215,76019815.89633001
0 + 0,257 + 102,-1.3,8.973453888932612,149329345.93364164
257 + 155,0 + 347,-6.9,114292.18271317073,11724.336417328585
102 + 985,0 + 347,-0.3,1.6592573955623648,807590192.807813
257 + 825,0 + 15,-2.8,112.8569854796624,11873434.278833162
102 + 278,0 + 15,-2.0,29.247701850339617,45815565.505172856
0 + Et2O ,257,-0.5,2.3255353028950725,576211420.3692484
359 + 0,347 + 15,-32.4,5.632306752458912e+23,2.3791317818671586e-15
985 + 825,347 + 15,-4.4,1680.3580976028109,797449.0686905584
985,347 + Et2O ,-1.1,6.402512879685622,209292823.79917634
825 + 278,15 + 15,-6.1,29619.643565809583,45240.24730489272
278,15 + Et2O ,-2.8,112.8569854796624,11873434.278833162
359 + Et2O ,1000,-23.5,1.6849151142270742e+17,7.95292290208164e-09
871 + Et2O ,1211,-6.2,35065.85360757804,38213.81378579685
155 + 347,1211,-22.3,2.222915621880693e+16,6.028119046940234e-08
822 + Et2O ,1508,-1.7,17.626982967538215,76019815.89633001
