Reactants,Products,dE (kcal/mol),K,k2
105 + 105,19,-44.9,8.198977939616184e+32,1.6343500493217925e-24
105 + 3,106 + THF,-32.6,7.893970052270381e+23,1.6974982057533943e-15
105 + 3,74,-30.6,2.6990052389975157e+22,4.9647921413361635e-14
105 + 70,60 + 1,-28.5,7.794843377886656e+20,1.7190852144655944e-12
105 + 70,17 + 17,-34.7,2.733328367829741e+25,4.9024479304107844e-17
105 + 70,13 + 3,-26.4,2.2511843403590885e+19,5.952422358207482e-11
105 + 70,2 + 54,-28.0,3.351849085319318e+20,3.997793354924699e-12
105 + 70,6 + 18,-44.4,3.525630391165941e+32,3.800738736986143e-24
105 + 106,19 + 19,-8.9,3342783.6838193517,400.86350980059865
105 + 6,3 + 0,-5.0,4626.252867024924,289651.2660497381
105 + 6,74 + THF,-24.1,4.638798949466047e+17,2.8886787605965158e-09
105 + 6,43,-23.7,2.361495926428303e+17,5.674369305505061e-09
105 + 0,19 + THF,-33.4,3.046015950670756e+24,4.399189044643452e-16
105 + 0,3,-36.9,1.1204506433030292e+27,1.195947369934789e-18
105 + 1,3 + THF,-31.3,8.797025259143979e+22,1.52324218758739e-14
105 + 1,6,-37.8,5.118397568136875e+27,2.6180068706303474e-19
105 + 33,60 + 0,-12.4,1229614089.228094,1.0897728089966845
105 + 33,17 + 6,-35.1,5.369207128132309e+25,2.4957129945294587e-17
105 + 33,13 + 19,-12.3,1038638085.1873236,1.2901510344272848
105 + 33,2 + 43,-27.9,2.8312607559648192e+20,4.732873851964805e-12
105 + 33,3 + 18,-27.3,1.0283769768880012e+20,1.3030241148095414e-11
105 + 43,3 + 3,-18.1,18540878563748.6,7.227273483253311e-05
105 + 43,106 + 1,-19.4,166375718852096.28,8.054059866699811e-06
105 + 43,6 + 19,-21.1,2932701962417846.0,4.5691652857054937e-07
105 + 18,17 + 0,-12.8,2415389534.034459,0.5547759403270159
105 + 18,2 + 3,-18.7,51045543646362.48,2.6251067268151014e-05
105 + 18,6 + 1,-29.4,3.560809003756613e+21,3.7631897655457375e-13
105 + 18,54 + THF,-25.6,5.834106601123202e+18,2.2968383878039161e-10
105 + 18,60,-21.9,1.1316304593173484e+16,1.1841321422263145e-07
105 + 74,3 + 19,-14.3,30377777045.966427,0.04411119345475365
105 + 74,106 + 0,-13.5,7872620043.325758,0.1702101705182665
105 + 19,106,-36.0,2.45273960720314e+26,5.463278678522269e-18
105 + 54,17 + 19,-20.6,1261086838271988.2,1.0625755176670806e-06
105 + 54,2 + 106,-25.6,5.834106601123202e+18,2.2968383878039161e-10
105 + 54,3 + 6,-35.1,5.369207128132309e+25,2.4957129945294587e-17
3 + 3,6 + 19,-3.0,158.1749188602047,8471633.86999613
3 + 70,60 + 17,-6.9,114292.18271317073,11724.336417328585
3 + 70,6 + 33,-17.1,3428344342981.0703,0.00039085922122829157
74 + 19,3 + 106,-5.5,10758.514362386017,124552.51300169437
3 + 0,74 + THF,-19.1,100271193183808.98,1.3363758398123589e-05
3 + 0,43,-18.7,51045543646362.48,2.6251067268151014e-05
3 + 1,6 + 0,-0.9,4.568159783502966,293334748.23694944
3 + 1,43 + THF,-13.1,4007752947.510607,0.3343519467267396
3 + 1,54,-2.7,95.32874120871114,14056621.151287697
3 + 33,60 + 6,-7.4,265790.5057444123,5041.5645820267255
70 + 19,3 + 33,-14.0,18308055837.03337,0.07319182396688238
3 + 33,43 + 18,-9.2,5546538.5491424585,241.59211878319593
3 + 43,6 + 74,-6.8,96541.03254429017,13880.108433533147
60 + 0,3 + 18,-15.0,99012061232.33348,0.013533704715586794
43 + 19,3 + 74,-3.8,610.34349339299,2195485.025244951
60 + 19,3 + 54,-7.2,189640.1494217934,7066.014259562735
3 + 54,6 + 43,-17.0,2895875246510.854,0.000462727115615399
3 + THF,6,-6.5,58183.27693008104,23030.672569547445
3 + 74,106 + 6,-8.5,1701727.1363267538,787.4352893569317
43 + 19,106 + 6,-12.3,1038638085.1873236,1.2901510344272848
106 + 0,3 + 19,-0.8,3.858661649970013,347270665.7269143
3 + 3,106 + 1,-1.3,8.973453888932612,149329345.93364164
106 + 1,6 + 19,-1.7,17.626982967538215,76019815.89633001
60 + 74,106 + 33,-1.1,6.402512879685622,209292823.79917634
106 + 33,43 + 54,-2.2,40.99217117454028,32689168.726741098
74 + 74,106 + 43,-1.7,17.626982967538215,76019815.89633001
60 + 19,106 + 18,-14.1,21674386607.46861,0.061824125603548094
17 + 74,106 + 18,-0.7,3.2593583487861006,411123864.45604026
3 + 54,106 + 18,-7.0,135307.26453902383,9903.385487580617
106 + 18,6 + 43,-10.0,21402215.589656327,62.61034024195237
106 + 54,43 + 74,-8.5,1701727.1363267538,787.4352893569317
